ResPropertyAmenities,,,,,,,,,,
Property_Code,Amenity_Code,Amenity_Description,Amenity_Name,Prior_Charge,Prior_Charge_Date,Current_Charge,Current_Charge_Date,Proposed_Charge,Proposed_Charge_Date,Notes
ce,fireplace,Fireplace,Fireplace,0,,10,4/17/2013,10,4/17/2013,
ce,patio,Patio,Patio,0,,10,4/17/2013,10,4/17/2013,
ce,2ndfloor,2nd Floor,2nd Floor,0,,10,4/17/2013,10,4/17/2013,
ce,3rdfloor,3rd Floor,3rd Floor,0,,20,4/17/2013,20,4/17/2013,
ce,nodishwasher,No Dishwasher,No Dishwasher,0,,-10,4/17/2013,-10,4/17/2013,
ce,extrawindow,Extra Window,Extra Window,0,,10,4/17/2013,10,4/17/2013,
ce,carpet1,Carpet/Vinyl - 1 Rm,Carpet/Vinyl - 1 Rm,0,,25,5/20/2013,25,5/20/2013,
ce,carpet2,Carpet/Vinyl - 2 Rm,Carpet/Vinyl - 2 Rm,30,5/20/2013,25,6/15/2015,25,6/15/2015,
ce,carpet3,Carpet/Vinyl - 3 Rm,Carpet/Vinyl - 3 Rm,35,5/20/2013,25,6/15/2015,25,6/15/2015,
ce,countertop,Countertop,Countertop,0,,5,5/20/2013,5,5/20/2013,
ce,appliance,Appliance,Appliance,0,,20,5/20/2013,20,5/20/2013,
ce,laundryroom,Laundry Room,Laundry Room,0,,50,5/20/2013,50,5/20/2013,
ce,hookup,Hookup,Hookup for Washer/Dryer,0,,50,3/27/2014,50,3/27/2014,
ce,wd,Washer/Dryer,Washer/Dryer Included in Unit,0,,25,3/27/2014,25,3/27/2014,
ce,cabinets,Cabinets,Renovated Unit Remodel,0,,100,3/27/2014,100,3/27/2014,
ce,Rent,Rent,Rent,0,,0,,0,,
sh,Rent,Rent,Rent,0,,0,,0,,
